7;;;30;"S. Petri Chrysologi, episcopi et Ecclesiae doctoris";"Mémoire facultative";;;;;;;;;;;;
7;;;31;"S. Ignatii de Loyola, presbyteri";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
8;;;1;"S. Alfonsi Mariae de Liguori, episcopi et Ecclesiae doctoris";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
8;;;2;"S. Eusebii Vercellensis, episcopi";"Mémoire facultative";;;;;;;;;;;;
8;;;2;"S. Petri Iuliani Eymard, presbyteri";"Mémoire facultative";;;;;;;;;;;;
8;;;3;;;;;;;;;;;;;;
8;;;4;"S. Ioannis Mariae Vianney, presbyteri";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
8;;;5;"In Dedicatione basilicae S. Mariae";"Mémoire facultative";;;;;;;;;;;;
8;;;6;"IN TRANSFIGURATIONE DOMINI";"Fête";"Blanc";5;;;;;;;;;;
8;;;7;"Ss. Xysti, papae, et sociorum, martyrum";"Mémoire facultative";;;;;;;;;;;;
8;;;7;"S. Caietani, presbyteri";"Mémoire facultative";;;;;;;;;;;;
8;;;8;"S. Dominici, presbyteri";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
8;;;9;"S. Teresiae Benedictae a Cruce, virginis et martyris";"Mémoire facultative";;;;;;;;;;;;
8;;;10;"S. Laurentii, diaconi et martyris";"Fête";"Rouge";7;;;;;;;;;;
8;;;11;"S. Clarae, virginis";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
8;;;12;"S. Ioannae Franciscae de Chantal, religiosae";"Mémoire facultative";;;;;;;;;;;;
8;;;13;"Ss. Pontiani, papae, et Hippolyti, presbyteri, martyrum";"Mémoire facultative";;;;;;;;;;;;
8;;;14;"S. Maximiliani Mariae Kolbe, presbyteri et martyris";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
8;;;15;"IN ASSUMPTIONE B. MARIAE VIRGINIS";"Solennité";"Blanc";4;;;;;;;;;;
8;;;16;"S. Stephani Hungariae";"Mémoire facultative";;;;;;;;;;;;
8;;;17;;;;;;;;;;;;;;
8;;;18;;;;;;;;;;;;;;
8;;;19;"S. Ioannis Eudes, presbyteri";"Mémoire facultative";;;;;;;;;;;;
8;;;20;"S. Bernardi, abbatis et Ecclesiae doctoris";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
8;;;21;"S. Pii X, papae";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
